Run_ID,Time,Obj_ID,Obj_X,Obj_Y,Obj_Z,Obj_Angle
0,9.4,DumbAlec,100,0,-2,90
0,9.4,veh1,275.47,0,40.2024,26.5638
0,9.4,veh2,379.547,0,147.27,143.13
0,9.5,SmartAlec,96,0,-2,90
0,9.5,DumbAlec,100,0,-2,90
0,9.5,veh1,275.886,0,41.0342,26.5638
0,9.5,veh2,380.099,0,146.534,143.13
0,9.6,SmartAlec,97,0,-2,90
0,9.6,DumbAlec,100,0,-2,90
0,9.6,veh1,276.306,0,41.875,26.5638
0,9.6,veh2,380.657,0,145.79,143.13
0,9.7,SmartAlec,98,0,-2,90
0,9.7,DumbAlec,100,0,-2,90
0,9.7,veh1,276.731,0,42.7247,26.5638
0,9.7,veh2,381.221,0,145.038,143.13
0,9.8,SmartAlec,99,0,-2,90
0,9.8,DumbAlec,100,0,-2,90
0,9.8,veh1,277.161,0,43.5834,26.5638
0,9.8,veh2,381.791,0,144.278,143.13
0,9.9,SmartAlec,100,0,-2,90
0,9.9,DumbAlec,100,0,-2,90
0,9.9,veh1,277.594,0,44.451,26.5638
0,9.9,veh2,382.367,0,143.51,143.13
0,10,SmartAlec,100,0,-2,90
0,10,DumbAlec,100,0,-2,90
0,10,veh1,278.033,0,45.3276,26.5638
0,10,veh2,382.949,0,142.734,143.13
0,10.1,SmartAlec,100,0,-2,90
0,10.1,DumbAlec,100,0,-2,90
0,10.1,veh1,278.475,0,46.2131,26.5638
0,10.1,veh2,383.537,0,141.95,143.13
0,10.1,veh0,12.1,0,-8,90
0,10.2,SmartAlec,100,0,-2,90
0,10.2,DumbAlec,100,0,-2,90
0,10.2,veh1,278.922,0,47.1075,26.5638
0,10.2,veh2,384.131,0,141.158,143.13
0,10.2,veh0,12.11,0,-8,90
0,10.3,SmartAlec,100,0,-2,90
0,10.3,DumbAlec,100,0,-2,90
0,10.3,veh1,279.374,0,48.0109,26.5638
0,10.3,veh2,384.731,0,140.358,143.13
